epoch,accuracy,loss,val_accuracy,val_loss
0,0.1784319281578064,2.423279285430908,0.20076189935207367,2.500730276107788
1,0.21358484029769897,2.119215726852417,0.2807618975639343,2.1220462322235107
2,0.25635895133018494,1.9496102333068848,0.36304762959480286,1.7896579504013062
3,0.30294370651245117,1.7424787282943726,0.34628570079803467,1.965406060218811
4,0.3341907262802124,1.6201754808425903,0.41523808240890503,1.7614575624465942
5,0.36600932478904724,1.531479001045227,0.4399999976158142,1.5641556978225708
6,0.3907783031463623,1.4718748331069946,0.380952388048172,1.7885304689407349
7,0.4099266529083252,1.3978244066238403,0.49676191806793213,1.3986536264419556
8,0.4398399591445923,1.3581055402755737,0.4739047586917877,1.478830337524414
9,0.45593979954719543,1.3217719793319702,0.5131428837776184,1.3252832889556885
10,0.46156045794487,1.2893130779266357,0.508571445941925,1.3651165962219238
11,0.4766123592853546,1.2527319192886353,0.5081904530525208,1.4459702968597412
12,0.47994664311408997,1.2337926626205444,0.5352380871772766,1.2523256540298462
13,0.49242639541625977,1.2061145305633545,0.53980952501297,1.2597016096115112
14,0.504144012928009,1.1880979537963867,0.5360000133514404,1.242405652999878
15,0.5029056072235107,1.1658920049667358,0.5360000133514404,1.2883464097976685
16,0.5023339986801147,1.163201928138733,0.5638095140457153,1.1738084554672241
17,0.5144326686859131,1.1372267007827759,0.5561904907226562,1.2682111263275146
18,0.5167190432548523,1.1317976713180542,0.5683809518814087,1.1499556303024292
19,0.5238639712333679,1.1156102418899536,0.5516190528869629,1.2055665254592896
20,0.5296751260757446,1.0949602127075195,0.585523784160614,1.1181000471115112
21,0.5308183431625366,1.0895575284957886,0.5836190581321716,1.068906307220459
22,0.534247875213623,1.0776727199554443,0.5779047608375549,1.1134183406829834
23,0.5439649224281311,1.050868034362793,0.5874285697937012,1.0861459970474243
24,0.543488621711731,1.0475870370864868,0.588952362537384,1.1006606817245483
25,0.5492997765541077,1.0447156429290771,0.584761917591095,1.0977367162704468
26,0.5469181537628174,1.0441155433654785,0.6053333282470703,1.0429354906082153
27,0.5573020577430725,1.0216890573501587,0.6125714182853699,1.030090570449829
28,0.5585405230522156,1.021559238433838,0.5790476202964783,1.1025371551513672
29,0.5593026876449585,1.0200743675231934,0.604190468788147,1.0308914184570312
30,0.5629227161407471,0.9982956647872925,0.5577142834663391,1.2181320190429688
31,0.572735071182251,0.9845668077468872,0.5977143049240112,1.0484652519226074
32,0.5644469857215881,0.9915981292724609,0.6060952544212341,1.036499261856079
33,0.5658759474754333,0.9799333214759827,0.5927619338035583,1.0564076900482178
34,0.5790225863456726,0.9552043676376343,0.6034285426139832,1.0144634246826172
